Name (location);Time/Call;Samples;Calls;% Time
parents;;0;2112;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::~_Vector_base() (stl_vector.h:162);;0;2112;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::~_Vector_base();;0;2112;0.0
parents;;0;2112;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::~vector() (stl_vector.h:404);;0;2112;0.0
children;;0;4224;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_deallocate(cv::Point_<float>*, unsigned int) (stl_vector.h:172);;0;2112;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_Vector_impl::~_Vector_impl() (stl_vector.h:80);;0;2112;0.0
std::allocator<cv::Point_<float> >::allocator();;0;2112;0.0
parents;;7;2112;3.4482758
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:367);;7;2104;3.4482758
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_Vector_impl::_Vector_impl() (stl_vector.h:88);;0;8;0.0
children;;0;2112;0.0
__gnu_cxx::new_allocator<cv::Point_<float> >::new_allocator() (new_allocator.h:69);;0;2112;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::~vector();;0;2112;0.0
parents;;7;2112;3.4482758
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:447);;7;2104;3.4482758
cv::videostab::KeypointBasedMotionEstimator::~KeypointBasedMotionEstimator() (global_motion.hpp:172);;0;8;0.0
children;;0;6336;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_get_Tp_allocator() (stl_vector.h:114);;0;2112;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::~_Vector_base() (stl_vector.h:160);;0;2112;0.0
void std::_Destroy<cv::Point_<float>*, cv::Point_<float> >(cv::Point_<float>*, cv::Point_<float>*, std::allocator<cv::Point_<float> >&) (stl_construct.h:152);;0;2112;0.0
__gnu_cxx::__alloc_traits<std::allocator<cv::Mat> >::max_size(std::allocator<cv::Mat> const&);;0;2114;0.0
children;;0;2114;0.0
__gnu_cxx::new_allocator<cv::Mat>::max_size() const (new_allocator.h:103);;0;2114;0.0
parents;;0;2114;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::max_size() const (stl_vector.h:631);;0;2114;0.0
cv::Mat* std::__uninitialized_copy<false>::__uninit_copy<cv::Mat*, cv::Mat*>(cv::Mat*, cv::Mat*, cv::Mat*);;0;2114;0.0
parents;;0;2114;0.0
cv::Mat* std::uninitialized_copy<cv::Mat*, cv::Mat*>(cv::Mat*, cv::Mat*, cv::Mat*) (stl_uninitialized.h:119);;0;2114;0.0
cv::Mat* std::__uninitialized_copy_a<cv::Mat*, cv::Mat*, cv::Mat>(cv::Mat*, cv::Mat*, cv::Mat*, std::allocator<cv::Mat>&);;0;2114;0.0
children;;0;2114;0.0
cv::Mat* std::uninitialized_copy<cv::Mat*, cv::Mat*>(cv::Mat*, cv::Mat*, cv::Mat*) (stl_uninitialized.h:109);;0;2114;0.0
parents;;0;2114;0.0
cv::Mat* std::__uninitialized_move_if_noexcept_a<cv::Mat*, cv::Mat*, std::allocator<cv::Mat> >(cv::Mat*, cv::Mat*, cv::Mat*, std::allocator<cv::Mat>&) (stl_uninitialized.h:283);;0;2114;0.0
cv::Mat* std::__uninitialized_move_if_noexcept_a<cv::Mat*, cv::Mat*, std::allocator<cv::Mat> >(cv::Mat*, cv::Mat*, cv::Mat*, std::allocator<cv::Mat>&);;0;2114;0.0
children;;0;2114;0.0
cv::Mat* std::__uninitialized_copy_a<cv::Mat*, cv::Mat*, cv::Mat>(cv::Mat*, cv::Mat*, cv::Mat*, std::allocator<cv::Mat>&) (stl_uninitialized.h:258);;0;2114;0.0
parents;;0;2114;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_fill_insert(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >, unsigned int, cv::Mat const&) (vector.tcc:491);;0;2114;0.0
cv::Mat* std::uninitialized_copy<cv::Mat*, cv::Mat*>(cv::Mat*, cv::Mat*, cv::Mat*);;0;2114;0.0
children;;0;2114;0.0
cv::Mat* std::__uninitialized_copy<false>::__uninit_copy<cv::Mat*, cv::Mat*>(cv::Mat*, cv::Mat*, cv::Mat*) (stl_uninitialized.h:70);;0;2114;0.0
parents;;0;2114;0.0
cv::Mat* std::__uninitialized_copy_a<cv::Mat*, cv::Mat*, cv::Mat>(cv::Mat*, cv::Mat*, cv::Mat*, std::allocator<cv::Mat>&) (stl_uninitialized.h:260);;0;2114;0.0
std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_get_Tp_allocator() const;;0;2114;0.0
parents;;0;2114;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::max_size() const (stl_vector.h:631);;0;2114;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::max_size() const;;0;2114;0.0
parents;;0;2114;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_check_len(unsigned int, char const*) const (stl_vector.h:1305);;0;2114;0.0
children;;0;4228;0.0
__gnu_cxx::__alloc_traits<std::allocator<cv::Mat> >::max_size(std::allocator<cv::Mat> const&) (alloc_traits.h:207);;0;2114;0.0
std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_get_Tp_allocator() const (stl_vector.h:118);;0;2114;0.0
__gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned int, int>(int*, unsigned int, int const&);;0;2630;0.0
parents;;0;2630;0.0
int* std::fill_n<int*, unsigned int, int>(int*, unsigned int, int const&) (stl_algobase.h:780);;0;2630;0.0
__gnu_cxx::new_allocator<int>::allocate(unsigned int, void const*);;0;2630;0.0
children;;0;2630;0.0
__gnu_cxx::new_allocator<int>::max_size() const (new_allocator.h:103);;0;2630;0.0
parents;;0;2630;0.0
std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int) (stl_vector.h:169);;0;2630;0.0
int* std::fill_n<int*, unsigned int, int>(int*, unsigned int, int const&);;0;2630;0.0
parents;;0;2630;0.0
void std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned int, int>(int*, unsigned int, int const&) (stl_uninitialized.h:206);;0;2630;0.0
children;;0;5260;0.0
__gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned int, int>(int*, unsigned int, int const&) (stl_algobase.h:740);;0;2630;0.0
std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*) (stl_algobase.h:271);;0;2630;0.0
std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int);;0;2630;0.0
children;;0;2630;0.0
__gnu_cxx::new_allocator<int>::allocate(unsigned int, void const*) (new_allocator.h:89);;0;2630;0.0
parents;;0;2630;0.0
std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned int) (stl_vector.h:182);;0;526;0.0
std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) (vector.tcc:481);;0;2104;0.0
std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int);;0;2630;0.0
children;;0;526;0.0
__gnu_cxx::new_allocator<int>::deallocate(int*, unsigned int) (new_allocator.h:99);;0;526;0.0
parents;;0;2630;0.0
std::_Vector_base<int, std::allocator<int> >::~_Vector_base() (stl_vector.h:161);;0;526;0.0
std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) (vector.tcc:517);;0;2104;0.0
void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&);;0;2630;0.0
children;;0;2630;0.0
void std::_Destroy<int*>(int*, int*) (stl_construct.h:124);;0;2630;0.0
parents;;0;2630;0.0
std::vector<int, std::allocator<int> >::~vector() (stl_vector.h:403);;0;526;0.0
std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) (vector.tcc:515);;0;2104;0.0
void std::_Destroy<int*>(int*, int*);;0;2630;0.0
children;;0;2630;0.0
void std::_Destroy_aux<true>::__destroy<int*>(int*, int*) (stl_construct.h:114);;0;2630;0.0
parents;;0;2630;0.0
void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) (stl_construct.h:155);;0;2630;0.0
void std::_Destroy_aux<true>::__destroy<int*>(int*, int*);;0;2630;0.0
parents;;0;2630;0.0
void std::_Destroy<int*>(int*, int*) (stl_construct.h:128);;0;2630;0.0
void std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned int, int>(int*, unsigned int, int const&);;0;2630;0.0
children;;0;2630;0.0
int* std::fill_n<int*, unsigned int, int>(int*, unsigned int, int const&) (stl_algobase.h:775);;0;2630;0.0
parents;;0;2630;0.0
void std::uninitialized_fill_n<int*, unsigned int, int>(int*, unsigned int, int const&) (stl_uninitialized.h:227);;0;2630;0.0
void std::__uninitialized_fill_n_a<int*, unsigned int, int, int>(int*, unsigned int, int const&, std::allocator<int>&);;0;2630;0.0
children;;0;2630;0.0
void std::uninitialized_fill_n<int*, unsigned int, int>(int*, unsigned int, int const&) (stl_uninitialized.h:220);;0;2630;0.0
parents;;0;2630;0.0
std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned int, int const&) (stl_vector.h:1181);;0;526;0.0
std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) (vector.tcc:489);;0;2104;0.0
void std::uninitialized_fill_n<int*, unsigned int, int>(int*, unsigned int, int const&);;0;2630;0.0
children;;0;2630;0.0
void std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned int, int>(int*, unsigned int, int const&) (stl_uninitialized.h:204);;0;2630;0.0
parents;;0;2630;0.0
void std::__uninitialized_fill_n_a<int*, unsigned int, int, int>(int*, unsigned int, int const&, std::allocator<int>&) (stl_uninitialized.h:336);;0;2630;0.0
void std::__uninitialized_fill_n<false>::__uninit_fill_n<cv::Point_<float>*, unsigned int, cv::Point_<float> >(cv::Point_<float>*, unsigned int, cv::Point_<float> const&);;0;3157;0.0
children;;1;104056;0.49261084
void std::_Construct<cv::Point_<float>, cv::Point_<float> >(cv::Point_<float>*, cv::Point_<float> const&) (stl_construct.h:81);;1;52028;0.49261084
cv::Point_<float>* std::__addressof<cv::Point_<float> >(cv::Point_<float>&) (move.h:47);;0;52028;0.0
parents;;0;3157;0.0
void std::uninitialized_fill_n<cv::Point_<float>*, unsigned int, cv::Point_<float> >(cv::Point_<float>*, unsigned int, cv::Point_<float> const&) (stl_uninitialized.h:225);;0;3157;0.0
void std::__uninitialized_fill_n_a<cv::Point_<float>*, unsigned int, cv::Point_<float>, cv::Point_<float> >(cv::Point_<float>*, unsigned int, cv::Point_<float> const&, std::allocator<cv::Point_<float> >&);;0;3157;0.0
children;;0;3157;0.0
void std::uninitialized_fill_n<cv::Point_<float>*, unsigned int, cv::Point_<float> >(cv::Point_<float>*, unsigned int, cv::Point_<float> const&) (stl_uninitialized.h:220);;0;3157;0.0
parents;;0;3157;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_fill_insert(__gnu_cxx::__normal_iterator<cv::Point_<float>*, std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > > >, unsigned int, cv::Point_<float> const&) (vector.tcc:489);;0;1053;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_fill_initialize(unsigned int, cv::Point_<float> const&) (stl_vector.h:1181);;0;2104;0.0
void std::uninitialized_fill_n<cv::Point_<float>*, unsigned int, cv::Point_<float> >(cv::Point_<float>*, unsigned int, cv::Point_<float> const&);;0;3157;0.0
children;;0;3157;0.0
void std::__uninitialized_fill_n<false>::__uninit_fill_n<cv::Point_<float>*, unsigned int, cv::Point_<float> >(cv::Point_<float>*, unsigned int, cv::Point_<float> const&) (stl_uninitialized.h:182);;0;3157;0.0
parents;;0;3157;0.0
void std::__uninitialized_fill_n_a<cv::Point_<float>*, unsigned int, cv::Point_<float>, cv::Point_<float> >(cv::Point_<float>*, unsigned int, cv::Point_<float> const&, std::allocator<cv::Point_<float> >&) (stl_uninitialized.h:336);;0;3157;0.0
__gnu_cxx::new_allocator<cv::Mat>::max_size() const;;0;3171;0.0
parents;;0;3171;0.0
__gnu_cxx::new_allocator<cv::Mat>::allocate(unsigned int, void const*) (new_allocator.h:91);;0;1057;0.0
__gnu_cxx::__alloc_traits<std::allocator<cv::Mat> >::max_size(std::allocator<cv::Mat> const&) (alloc_traits.h:208);;0;2114;0.0
cv::Mat_<float>::operator=(cv::Mat_<float> const&);;0;4200;0.0
children;;42;4200;20.689655
cv::Mat::operator=(cv::Mat const&) (mat.hpp:282);;42;4200;20.689655
parents;;7;4200;3.4482758
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:415);;7;4200;3.4482758
__gnu_cxx::__alloc_traits<std::allocator<int> >::max_size(std::allocator<int> const&);;0;4208;0.0
children;;0;4208;0.0
__gnu_cxx::new_allocator<int>::max_size() const (new_allocator.h:103);;0;4208;0.0
parents;;0;4208;0.0
std::vector<int, std::allocator<int> >::max_size() const (stl_vector.h:631);;0;4208;0.0
int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*);;0;4208;0.0
parents;;0;4208;0.0
int* std::__copy_move_a<false, int*, int*>(int*, int*, int*) (stl_algobase.h:384);;0;4208;0.0
int* std::__copy_move_a2<false, int*, int*>(int*, int*, int*);;0;4208;0.0
parents;;0;4208;0.0
int* std::copy<int*, int*>(int*, int*, int*) (stl_algobase.h:454);;0;4208;0.0
children;;0;16832;0.0
int* std::__copy_move_a<false, int*, int*>(int*, int*, int*) (stl_algobase.h:373);;0;4208;0.0
std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*) (stl_algobase.h:271);;0;12624;0.0
int* std::__copy_move_a<false, int*, int*>(int*, int*, int*);;0;4208;0.0
children;;0;4208;0.0
int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*) (stl_algobase.h:362);;0;4208;0.0
parents;;0;4208;0.0
int* std::__copy_move_a2<false, int*, int*>(int*, int*, int*) (stl_algobase.h:422);;0;4208;0.0
int* std::__uninitialized_copy<true>::__uninit_copy<int*, int*>(int*, int*, int*);;0;4208;0.0
children;;0;4208;0.0
int* std::copy<int*, int*>(int*, int*, int*) (stl_algobase.h:444);;0;4208;0.0
parents;;0;4208;0.0
int* std::uninitialized_copy<int*, int*>(int*, int*, int*) (stl_uninitialized.h:119);;0;4208;0.0
int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&);;0;4208;0.0
children;;0;4208;0.0
int* std::uninitialized_copy<int*, int*>(int*, int*, int*) (stl_uninitialized.h:109);;0;4208;0.0
parents;;0;4208;0.0
int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&) (stl_uninitialized.h:283);;0;4208;0.0
int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&);;0;4208;0.0
children;;0;4208;0.0
int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&) (stl_uninitialized.h:258);;0;4208;0.0
parents;;0;4208;0.0
std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) (vector.tcc:491);;0;4208;0.0
int* std::copy<int*, int*>(int*, int*, int*);;0;4208;0.0
parents;;0;4208;0.0
int* std::__uninitialized_copy<true>::__uninit_copy<int*, int*>(int*, int*, int*) (stl_uninitialized.h:95);;0;4208;0.0
children;;0;12624;0.0
int* std::__copy_move_a2<false, int*, int*>(int*, int*, int*) (stl_algobase.h:418);;0;4208;0.0
std::_Miter_base<int*>::iterator_type std::__miter_base<int*>(int*) (stl_algobase.h:282);;0;8416;0.0
int* std::uninitialized_copy<int*, int*>(int*, int*, int*);;0;4208;0.0
children;;0;4208;0.0
int* std::__uninitialized_copy<true>::__uninit_copy<int*, int*>(int*, int*, int*) (stl_uninitialized.h:93);;0;4208;0.0
parents;;0;4208;0.0
int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&) (stl_uninitialized.h:260);;0;4208;0.0
std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const;;0;4208;0.0
parents;;0;4208;0.0
std::vector<int, std::allocator<int> >::max_size() const (stl_vector.h:631);;0;4208;0.0
std::vector<int, std::allocator<int> >::max_size() const;;0;4208;0.0
parents;;0;4208;0.0
std::vector<int, std::allocator<int> >::_M_check_len(unsigned int, char const*) const (stl_vector.h:1305);;0;4208;0.0
children;;0;8416;0.0
__gnu_cxx::__alloc_traits<std::allocator<int> >::max_size(std::allocator<int> const&) (alloc_traits.h:207);;0;4208;0.0
std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const (stl_vector.h:118);;0;4208;0.0
__gnu_cxx::new_allocator<cv::Point_<float> >::~new_allocator();;0;4216;0.0
parents;;0;4216;0.0
std::allocator<cv::Point_<float> >::~allocator() (allocator.h:112);;0;4216;0.0
std::allocator<cv::Point_<float> >::~allocator();;0;4216;0.0
parents;;7;4216;3.4482758
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:367);;7;2104;3.4482758
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_Vector_impl::~_Vector_impl() (stl_vector.h:80);;0;2112;0.0
children;;0;4216;0.0
__gnu_cxx::new_allocator<cv::Point_<float> >::~new_allocator() (new_allocator.h:76);;0;4216;0.0
__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::base() const;;0;4228;0.0
parents;;0;4228;0.0
__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::difference_type __gnu_cxx::operator-<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&, __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&) (stl_iterator.h:900);;0;2114;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_fill_insert(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >, unsigned int, cv::Mat const&) (vector.tcc:491);;0;2114;0.0
std::_Vector_base<cv::Mat, std::allocator<cv::Mat> >::_M_get_Tp_allocator();;0;4238;0.0
parents;;0;4238;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_erase_at_end(cv::Mat*) (stl_vector.h:1319);;0;5;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::~vector() (stl_vector.h:403);;0;5;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_fill_insert(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >, unsigned int, cv::Mat const&) (vector.tcc:486);;0;4228;0.0
cv::Mat& cv::videostab::at<cv::Mat>(int, std::vector<cv::Mat, std::allocator<cv::Mat> >&);;0;4413;0.0
children;;1;8826;0.49261084
std::vector<cv::Mat, std::allocator<cv::Mat> >::size() const (stl_vector.h:625);;1;4413;0.49261084
std::vector<cv::Mat, std::allocator<cv::Mat> >::operator[](unsigned int) (stl_vector.h:750);;0;4413;0.0
parents;;0;4413;0.0
cv::videostab::OnePassStabilizer::setUp(cv::Mat const&) (stabilizer.cpp:283);;0;81;0.0
cv::videostab::StabilizerBase::nextStabilizedFrame() (stabilizer.cpp:111);;0;527;0.0
cv::videostab::OnePassStabilizer::estimateMotion() (stabilizer.cpp:295);;0;1052;0.0
cv::videostab::StabilizerBase::doOneIteration() (stabilizer.cpp:124);;0;1172;0.0
cv::videostab::StabilizerBase::stabilizeFrame() (stabilizer.cpp:196);;0;1581;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::operator[](unsigned int);;0;4413;0.0
parents;;0;4413;0.0
cv::Mat& cv::videostab::at<cv::Mat>(int, std::vector<cv::Mat, std::allocator<cv::Mat> >&) (ring_buffer.hpp:56);;0;4413;0.0
void std::_Construct<cv::Mat, cv::Mat>(cv::Mat*, cv::Mat const&);;0;4613;0.0
children;;1;9226;0.49261084
cv::Mat::Mat(cv::Mat const&) (mat.hpp:111);;1;4613;0.49261084
operator new(unsigned int, void*) (new:112);;0;4613;0.0
parents;;0;4613;0.0
void std::__uninitialized_fill_n<false>::__uninit_fill_n<cv::Mat*, unsigned int, cv::Mat>(cv::Mat*, unsigned int, cv::Mat const&) (stl_uninitialized.h:188);;0;4613;0.0
cv::Mat* std::__addressof<cv::Mat>(cv::Mat&);;0;5018;0.0
parents;;0;5018;0.0
void std::_Destroy_aux<false>::__destroy<cv::Mat*>(cv::Mat*, cv::Mat*) (stl_construct.h:105);;0;405;0.0
void std::__uninitialized_fill_n<false>::__uninit_fill_n<cv::Mat*, unsigned int, cv::Mat>(cv::Mat*, unsigned int, cv::Mat const&) (stl_uninitialized.h:189);;0;4613;0.0
__gnu_cxx::new_allocator<cv::Point_<float> >::deallocate(cv::Point_<float>*, unsigned int);;0;6316;0.0
parents;;0;6316;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_deallocate(cv::Point_<float>*, unsigned int) (stl_vector.h:175);;0;6316;0.0
__gnu_cxx::new_allocator<int>::max_size() const;;0;6838;0.0
parents;;0;6838;0.0
__gnu_cxx::new_allocator<int>::allocate(unsigned int, void const*) (new_allocator.h:91);;0;2630;0.0
__gnu_cxx::__alloc_traits<std::allocator<int> >::max_size(std::allocator<int> const&) (alloc_traits.h:208);;0;4208;0.0
__gnu_cxx::__alloc_traits<std::allocator<cv::Point_<float> > >::_S_on_swap(std::allocator<cv::Point_<float> >&, std::allocator<cv::Point_<float> >&);;0;8400;0.0
children;;0;8400;0.0
std::__alloc_swap<std::allocator<cv::Point_<float> >, true>::_S_do_it(std::allocator<cv::Point_<float> >&, std::allocator<cv::Point_<float> >&) (allocator.h:154);;0;8400;0.0
parents;;0;8400;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::swap(std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >&) (stl_vector.h:1085);;0;8400;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_Vector_impl::_M_swap_data(std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_Vector_impl&);;0;8400;0.0
parents;;0;8400;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::swap(std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >&) (stl_vector.h:1084);;0;8400;0.0
children;;0;25200;0.0
void std::swap<cv::Point_<float>*>(cv::Point_<float>*&, cv::Point_<float>*&) (move.h:167);;0;25200;0.0
std::__alloc_swap<std::allocator<cv::Point_<float> >, true>::_S_do_it(std::allocator<cv::Point_<float> >&, std::allocator<cv::Point_<float> >&);;0;8400;0.0
parents;;0;8400;0.0
__gnu_cxx::__alloc_traits<std::allocator<cv::Point_<float> > >::_S_on_swap(std::allocator<cv::Point_<float> >&, std::allocator<cv::Point_<float> >&) (alloc_traits.h:216);;0;8400;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::swap(std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >&);;0;8400;0.0
parents;;7;8400;3.4482758
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:416);;7;8400;3.4482758
children;;0;33600;0.0
__gnu_cxx::__alloc_traits<std::allocator<cv::Point_<float> > >::_S_on_swap(std::allocator<cv::Point_<float> >&, std::allocator<cv::Point_<float> >&) (alloc_traits.h:212);;0;8400;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_Vector_impl::_M_swap_data(std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_Vector_impl&) (stl_vector.h:102);;0;8400;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_get_Tp_allocator() (stl_vector.h:114);;0;16800;0.0
__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const;;0;8416;0.0
parents;;0;8416;0.0
__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) (stl_iterator.h:900);;0;4208;0.0
std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) (vector.tcc:491);;0;4208;0.0
std::_Miter_base<int*>::iterator_type std::__miter_base<int*>(int*);;0;8416;0.0
children;;0;8416;0.0
std::_Iter_base<int*, false>::_S_base(int*) (stl_iterator_base_types.h:213);;0;8416;0.0
parents;;0;8416;0.0
int* std::copy<int*, int*>(int*, int*, int*) (stl_algobase.h:454);;0;8416;0.0
std::vector<int, std::allocator<int> >::size() const;;0;8416;0.0
parents;;0;8416;0.0
std::vector<int, std::allocator<int> >::_M_check_len(unsigned int, char const*) const (stl_vector.h:1305);;0;8416;0.0
std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator();;0;9468;0.0
parents;;0;9468;0.0
std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned int, int const&) (stl_vector.h:1181);;0;526;0.0
std::vector<int, std::allocator<int> >::~vector() (stl_vector.h:403);;0;526;0.0
std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&) (vector.tcc:486);;0;8416;0.0
std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*);;0;15254;0.0
children;;0;15254;0.0
std::_Iter_base<int*, false>::_S_base(int*) (stl_iterator_base_types.h:213);;0;15254;0.0
parents;;0;15254;0.0
int* std::fill_n<int*, unsigned int, int>(int*, unsigned int, int const&) (stl_algobase.h:780);;0;2630;0.0
int* std::__copy_move_a2<false, int*, int*>(int*, int*, int*) (stl_algobase.h:422);;0;12624;0.0
cv::_OutputArray::_OutputArray<float>(cv::Mat_<float>&);;0;18936;0.0
parents;;1;18936;0.49261084
cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*) (global_motion.cpp:315);;1;18936;0.49261084
children;;0;18936;0.0
cv::_InputArray::_InputArray<float>(cv::Mat_<float> const&) (mat.hpp:1137);;0;18936;0.0
cv::videostab::estimateGlobalMotionLeastSquares(cv::_OutputArray const&, cv::_OutputArray const&, int, float*);;0;18936;0.0
children;;15;132552;7.3891625
